1;55491484;12345678901;10-09-1988;55491484000100A1234;
2;09-2006;101;45000,01;11300,01;
2;10-2006;101;45000,01;11300,01;
2;11-2006;101;45000,01;11300,01;
2;12-2006;101;45000,01;11300,01;
2;01-2007;101;45000,01;11300,01;
2;02-2007;101;45000,01;11300,01;
2;03-2007;101;45000,01;11300,01;
2;04-2007;101;45000,01;11300,01;
2;05-2007;101;45000,01;11300,01;
2;06-2007;101;45000,01;11300,01;
2;07-2007;101;45000,01;11300,01;
2;08-2007;101;45000,01;11300,01;
2;09-2007;101;45000,01;11300,01;
2;10-2007;101;45000,01;11300,01;
2;11-2007;101;45000,01;11300,01;
2;12-2007;101;45000,01;11300,01;
2;01-2008;101;45000,01;11300,01;
2;02-2008;101;45000,01;11300,01;
2;03-2008;101;45000,01;11300,01;
2;04-2008;101;45000,01;11300,01;
2;05-2008;101;45000,01;11300,01;
2;06-2008;101;45000,01;11300,01;
2;07-2008;101;45000,01;11300,01;
2;08-2008;101;45000,01;11300,01;
2;09-2008;101;45000,01;11300,01;
2;10-2008;101;45000,01;11300,01;
2;11-2008;101;45000,01;11300,01;
2;12-2008;101;45000,01;11300,01;
2;01-2009;101;45000,01;11300,01;
2;02-2009;101;45000,01;11300,01;
2;03-2009;101;45000,01;11300,01;
2;04-2009;101;45000,01;11300,01;
2;05-2009;101;45000,01;11300,01;
2;06-2009;101;45000,01;11300,01;
2;07-2009;101;45000,01;11300,01;
2;08-2009;101;45000,01;11300,01;
2;09-2009;101;45000,01;11300,01;
2;10-2009;101;45000,01;11300,01;
2;11-2009;101;45000,01;11300,01;
2;12-2009;101;45000,01;11300,01;
2;01-2010;101;45000,01;11300,01;
2;02-2010;101;45000,01;11300,01;
2;03-2010;101;45000,01;11300,01;
2;04-2010;101;45000,01;11300,01;
2;05-2010;101;45000,01;11300,01;
2;06-2010;101;45000,01;11300,01;
2;07-2010;101;45000,01;11300,01;
2;08-2010;101;45000,01;11300,01;
2;09-2010;101;45000,01;11300,01;
2;10-2010;101;45000,01;11300,01;
2;11-2010;101;45000,01;11300,01;
2;12-2010;101;45000,01;11300,01;
2;01-2011;101;45000,01;11300,01;
2;02-2011;101;45000,01;11300,01;
2;03-2011;101;45000,01;11300,01;
2;04-2011;101;45000,01;11300,01;
2;05-2011;101;45000,01;11300,01;
2;06-2011;101;45000,01;11300,01;
2;07-2011;101;45000,01;11300,01;
2;08-2011;101;45000,01;11300,01;
2;09-2011;101;45000,01;11300,01;
2;10-2011;101;45000,01;11300,01;
2;11-2011;101;45000,01;11300,01;
2;12-2011;101;45000,01;11300,01;
2;01-2012;101;45000,01;11300,01;
2;02-2012;101;45000,01;11300,01;
2;03-2012;101;45000,01;11300,01;
2;04-2012;101;45000,01;11300,01;
2;05-2012;101;45000,01;11300,01;
2;06-2012;101;45000,01;11300,01;
2;07-2012;101;45000,01;11300,01;
2;08-2012;101;45000,01;11300,01;
2;09-2012;101;45000,01;11300,01;
2;10-2012;101;45000,01;11300,01;
2;11-2012;101;45000,01;11300,01;
2;12-2012;101;45000,01;11300,01;
2;01-2013;101;45000,01;11300,01;
2;02-2013;101;45000,01;11300,01;
2;03-2013;101;45000,01;11300,01;
2;04-2013;101;45000,01;11300,01;
2;05-2013;101;45000,01;11300,01;
2;06-2013;101;45000,01;11300,01;
2;07-2013;101;45000,01;11300,01;
2;08-2013;101;45000,01;11300,01;
2;09-2013;101;45000,01;11300,01;
2;10-2013;101;45000,01;11300,01;
2;11-2013;101;45000,01;11300,01;
2;12-2013;101;45000,01;11300,01;
2;01-2014;101;45000,01;11300,01;
2;02-2014;101;45000,01;11300,01;
2;03-2014;101;45000,01;11300,01;
2;04-2014;101;45000,01;11300,01;
2;05-2014;101;45000,01;11300,01;
2;06-2014;101;45000,01;11300,01;
2;07-2014;101;45000,01;11300,01;
2;08-2014;101;45000,01;11300,01;
2;09-2014;101;45000,01;11300,01;
2;10-2014;101;45000,01;11300,01;
2;11-2014;101;45000,01;11300,01;
2;12-2014;101;45000,01;11300,01;
2;01-2015;101;45000,01;11300,01;
2;02-2015;101;45000,01;11300,01;
2;03-2015;101;45000,01;11300,01;
2;04-2015;101;45000,01;11300,01;
2;05-2015;101;45000,01;11300,01;
2;06-2015;101;45000,01;11300,01;
2;07-2015;101;45000,01;11300,01;
2;08-2015;101;45000,01;11300,01;
2;09-2015;101;45000,01;11300,01;
2;10-2015;101;45000,01;11300,01;
2;11-2015;101;45000,01;11300,01;
2;12-2015;101;45000,01;11300,01;
2;01-2016;101;45000,01;11300,01;
2;02-2016;101;45000,01;11300,01;
2;03-2016;101;45000,01;11300,01;
2;04-2016;101;45000,01;11300,01;
2;05-2016;101;45000,01;11300,01;
2;06-2016;101;45000,01;11300,01;
2;07-2016;101;45000,01;11300,01;
2;08-2016;101;45000,01;11300,01;
2;09-2016;101;45000,01;11300,01;
2;10-2016;101;45000,01;11300,01;
2;11-2016;101;45000,01;11300,01;
2;12-2016;101;45000,01;11300,01;
2;01-2017;101;45000,01;11300,01;
2;02-2017;101;45000,01;11300,01;
2;03-2017;101;45000,01;11300,01;
2;04-2017;101;45000,01;11300,01;
2;05-2017;101;45000,01;11300,01;
2;06-2017;101;45000,01;11300,01;
2;07-2017;101;45000,01;11300,01;
2;08-2017;101;45000,01;11300,01;
2;09-2017;101;45000,01;11300,01;
2;10-2017;101;45000,01;11300,01;
2;11-2017;101;45000,01;11300,01;
2;12-2017;101;45000,01;11300,01;
2;01-2018;101;45000,01;11300,01;
2;02-2018;101;45000,01;11300,01;
2;03-2018;101;45000,01;11300,01;
2;04-2018;101;45000,01;11300,01;
2;05-2018;101;45000,01;11300,01;
2;06-2018;101;45000,01;11300,01;
2;07-2018;101;45000,01;11300,01;
2;08-2018;101;45000,01;11300,01;
2;09-2018;101;45000,01;11300,01;
2;10-2018;101;45000,01;11300,01;
2;11-2018;101;45000,01;11300,01;
2;12-2018;101;45000,01;11300,01;
2;01-2019;101;45000,01;11300,01;
2;02-2019;101;45000,01;11300,01;
2;03-2019;101;45000,01;11300,01;
2;04-2019;101;45000,01;11300,01;
2;05-2019;101;45000,01;11300,01;
2;06-2019;101;45000,01;11300,01;
2;07-2019;101;45000,01;11300,01;
2;08-2019;101;45000,01;11300,01;
2;09-2019;101;45000,01;11300,01;
2;10-2019;101;45000,01;11300,01;
2;11-2019;101;45000,01;11300,01;
2;12-2019;101;45000,01;11300,01;
2;01-2020;101;45000,01;11300,01;
2;02-2020;101;45000,01;11300,01;
2;03-2020;101;45000,01;11300,01;
2;04-2020;101;45000,01;11300,01;
2;05-2020;101;45000,01;11300,01;
2;06-2020;101;45000,01;11300,01;
2;07-2020;101;45000,01;11300,01;
2;08-2020;101;45000,01;11300,01;
2;09-2020;101;45000,01;11300,01;
2;10-2020;101;45000,01;11300,01;
2;11-2020;101;45000,01;11300,01;
2;12-2020;101;45000,01;11300,01;
2;01-2021;101;45000,01;11300,01;
2;02-2021;101;45000,01;11300,01;
2;03-2021;101;45000,01;11300,01;
2;04-2021;101;45000,01;11300,01;
2;05-2021;101;45000,01;11300,01;
2;06-2021;101;45000,01;11300,01;
2;07-2021;101;45000,01;11300,01;
2;08-2021;101;45000,01;11300,01;
2;09-2021;101;45000,01;11300,01;
2;10-2021;101;45000,01;11300,01;
2;11-2021;101;45000,01;11300,01;
2;12-2021;101;45000,01;11300,01;
2;01-2022;101;45000,01;11300,01;
2;02-2022;101;45000,01;11300,01;
2;03-2022;101;45000,01;11300,01;
2;04-2022;101;45000,01;11300,01;
2;05-2022;101;45000,01;11300,01;
2;06-2022;101;45000,01;11300,01;
2;07-2022;101;45000,01;11300,01;
2;08-2022;101;45000,01;11300,01;
2;09-2022;101;45000,01;11300,01;
2;10-2022;101;45000,01;11300,01;
2;11-2022;101;45000,01;11300,01;
2;12-2022;101;45000,01;11300,01;
2;01-2023;101;45000,01;11300,01;
2;02-2023;101;45000,01;11300,01;
2;03-2023;101;45000,01;11300,01;
2;04-2023;101;45000,01;11300,01;
2;05-2023;101;45000,01;11300,01;
2;06-2023;101;45000,01;11300,01;
2;07-2023;101;45000,01;11300,01;
2;08-2023;101;45000,01;11300,01;
2;09-2023;101;45000,01;11300,01;
2;10-2023;101;45000,01;11300,01;
2;11-2023;101;45000,01;11300,01;
2;12-2023;101;45000,01;11300,01;
2;12-2023;101;45000,01;11300,01;
